Signal 39566215: 0010010110111011101110000111 | Max sidelobe: 2
Signal 59763277: 0011100011111110101001001101 | Max sidelobe: 2
Signal 79132430: 0100101101110111011100001110 | Max sidelobe: 2
Signal 81428707: 0100110110101000000011100011 | Max sidelobe: 2
Signal 114999064: 0110110110101011111100011000 | Max sidelobe: 2
Signal 118419154: 0111000011101110111011010010 | Max sidelobe: 2
Signal 150016301: 1000111100010001000100101101 | Max sidelobe: 2
Signal 153436391: 1001001001010100000011100111 | Max sidelobe: 2
Signal 187006748: 1011001001010111111100011100 | Max sidelobe: 2
Signal 189303025: 1011010010001000100011110001 | Max sidelobe: 2
Signal 208672178: 1100011100000001010110110010 | Max sidelobe: 2
Signal 228869240: 1101101001000100010001111000 | Max sidelobe: 2
Signal 236838308: 1110000111011101110110100100 | Max sidelobe: 2
Signal 242231881: 1110011100000010101001001001 | Max sidelobe: 2

 Execution time: 60790.95 ms
